,Unnamed: 0,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,BARTIMESTAMP,ASSET,VWAP
18665255,18665255,GBCO,5.56,5.56,5.54,5.56,11157,2023-06-05 10:10:00,1.0,5.559103
18665829,18665829,GBCO,6.08,6.09,6.07,6.09,280564,2023-06-13 13:55:00,1.0,6.0448142
18667268,18667268,GBCO,5.59,5.59,5.57,5.57,5647,2023-06-01 11:50:00,1.0,5.6091254
18667775,18667775,GBCO,5.74,5.74,5.72,5.72,63597,2023-05-31 13:15:00,1.0,5.7448089
18667866,18667866,GBCO,5.67,5.67,5.63,5.63,28310,2023-05-31 13:55:00,1.0,5.7340011
18669272,18669272,GBCO,5.58,5.59,5.58,5.59,25710,2023-06-01 12:00:00,1.0,5.6032403
18669523,18669523,GBCO,5.5,5.5,5.48,5.5,75475,2023-06-05 13:25:00,1.0,5.5298632
18669925,18669925,GBCO,5.63,5.64,5.63,5.63,21412,2023-06-04 10:40:00,1.0,5.6327423
18671382,18671382,GBCO,5.61,5.64,5.61,5.64,283,2023-06-01 13:00:00,1.0,5.6047176
18671527,18671527,GBCO,5.49,5.5,5.48,5.48,11957,2023-06-05 13:30:00,1.0,5.5273909
