Date,Retail,Institutional,Foreign,Regional,Local
2008-05-11 00:00:00,238436949.072,-238436949.072,-200664759.12,-82626665.52,283291424.64
2008-05-12 00:00:00,81424248.7040002,-81424248.7039999,-139947927.46,-68701709.844,208649637.304
2008-05-13 00:00:00,-14991447.828,14991447.8280001,-144917329.004,197387396.402,-52470067.398
2008-05-14 00:00:00,-77068628.2800002,77068628.28,-119272877.1,124777779.12,-5504902.01999998
2008-05-15 00:00:00,-229422810.426,229422810.426,-12401232.996,62006164.98,-49604931.9840002
2008-05-18 00:00:00,-85449590.8200001,85449590.8200001,132058458.54,-60850466.19,-71207992.35
2008-05-19 00:00:00,-51105002.125,51105002.1250001,10221000.425,-4088400.17000002,-4088400.17000008
2008-05-20 00:00:00,0.0,0.0,26139776.299,-1027494283.753,-28150528.322
2008-05-21 00:00:00,-2019911.42800009,2019911.42800009,-60597342.84,32318582.848,28278759.9920001
2008-05-22 00:00:00,-12891803.0080001,12891803.008,-12891803.008,44200467.456,-31308664.4480002
2008-05-25 00:00:00,148500000.0,-148500000.0,-54000000.0,-43500000.0,97500000.0
2008-05-26 00:00:00,-17776469.8540001,17776469.854,-54945452.276,93730477.412,-40401067.8499999
2008-05-27 00:00:00,-94900503.4180002,94900503.4180001,106065268.526,55823825.54,-164680285.343
2008-05-28 00:00:00,11688514.575,-11688514.575,-7013108.74500001,67793384.535,-60780275.7900002
2008-05-29 00:00:00,58983026.256,-58983026.2559999,-61440652.35,125338930.794,-61440652.3500001
2008-06-01 00:00:00,32500000.0,-32500000.0,5000000.0,-22500000.0,17500000.0
2008-06-02 00:00:00,-28902901.152,28902901.1520001,9032156.60999999,-52386508.338,43354351.7279999
2008-06-03 00:00:00,-25122181.477,25122181.477,84233196.717,-8866652.28599998,-75366544.431
2008-06-04 00:00:00,30310290.066,-30310290.066,-60620580.132,67115642.289,-8660082.87599993
2008-06-05 00:00:00,26386081.9680001,-26386081.9679999,23087821.722,-28035212.091,4947390.36899996
2008-06-08 00:00:00,132686110.969,-132686110.969,-161461412.143,137481994.498,25578045.4879999
2008-06-09 00:00:00,76500000.0,-76499999.9999999,22500000.0,28500000.0,-51000000.0
2008-06-10 00:00:00,37800000.0,-37800000.0,-136500000.0,23100000.0,113400000.0
2008-06-11 00:00:00,-61657016.13,61657016.13,143866370.97,16441870.968,-160308241.938
2008-06-12 00:00:00,-88652523.2239997,88652523.2240001,97301549.88,36758363.288,-136222169.832
2008-06-15 00:00:00,36298798.775,-36298798.775,-63885885.844,0.0,63885885.8440001
2008-06-16 00:00:00,-13525960.6440001,13525960.644,40577881.932,-57109611.608,18034614.1919999
2008-06-17 00:00:00,-369675192.715,369675192.715,12035936.507,419538358.244,-431574294.751
2008-06-18 00:00:00,0.0,0.0,0.0,0.0,0.0
2008-06-19 00:00:00,0.0,0.0,0.0,0.0,0.0
2008-06-22 00:00:00,17600000.0,-17600000.0,-6600000.0,-34100000.0,40700000.0
2008-06-23 00:00:00,-42900000.0,-721767800.0,7800000.0,6500000.0,-14300000.0000001
2008-06-24 00:00:00,-56308516.0680001,56308516.068,65693268.746,-24132221.172,-41561047.574
2008-06-25 00:00:00,37836711.9690001,-37836711.9689999,52250697.481,-37836711.969,-14413985.5120001
2008-06-26 00:00:00,-140398803.805,140398803.805,51204269.623,9910503.79800004,-59463022.7880001
2008-06-29 00:00:00,-13406578.39,13406578.39,18769209.746,29494472.458,-48263682.204
2008-06-30 00:00:00,-7260302.76400006,7260302.76399994,9075378.455,16335681.219,-27226135.3649998
2008-07-02 00:00:00,-84038004.4933,85308557.4769998,70787951.9490001,-41746740.893,-29041211.056
2008-07-03 00:00:00,-52863565.6459999,52863565.646,41926276.202,-109372894.44,67446618.2380002
2008-07-06 00:00:00,-35681511.888,35681511.888,3243773.808,-8650063.48799999,5406289.68000007
2008-07-07 00:00:00,-55459421.8500001,55459421.85,45952092.3900001,-77643190.59,31691098.2
2008-07-08 00:00:00,-262951712.724,262951712.724,-54548493.597,-55947172.92,90914155.9949999
2008-07-09 00:00:00,-61717022.5230001,61717022.5229998,54859575.576,-38858866.033,-16000709.543
2008-07-10 00:00:00,-51024721.23,51024721.23,84555252.324,-18952039.314,-67061062.188
2008-07-13 00:00:00,0.0,0.0,58759004.781,-51542986.65,-6185158.398
2008-07-14 00:00:00,-141061208.284,141061208.284,32833212.273,-110660085.809,75394783.7379999
2008-07-15 00:00:00,-92999999.9999999,93000000.0,43500000.0,-51000000.0,3000000.0
2008-07-16 00:00:00,-66708095.829,66708095.829,85020122.135,-9156013.15300001,-77172110.8610001
2008-07-17 00:00:00,14857616.88,-14857616.8799999,17829140.256,-21791171.424,4952538.95999992
2008-07-20 00:00:00,29024500.7040001,-29024500.704,-24489422.469,9977172.11699998,14512250.352
2008-07-21 00:00:00,82106676.1320001,-82106676.1319999,-151581555.936,136844460.22,15789745.4100001
2008-07-22 00:00:00,-66785681.568,66785681.568,26362769.04,14060143.488,-39544153.5599999
2008-07-24 00:00:00,-110446253.925,115705599.35,73630835.95,-23141119.87,-50489716.08
2008-07-27 00:00:00,-8809955.1279999,8809955.12800002,-22024887.82,-26429865.384,47353508.813
2008-07-28 00:00:00,-78458591.9860001,78458591.9859999,65596527.726,-43731018.484,-23151715.668
2008-07-29 00:00:00,3427134.75,-3427134.75,-117664959.75,9139026.0,108525933.75
2008-07-30 00:00:00,-18379468.2240001,18379468.224,183794682.24,-10210815.68,-173583866.56
2008-07-31 00:00:00,-66420221.3600001,66420221.36,88837046.069,-22416824.709,-66420221.3599999
2008-08-03 00:00:00,-35026100.395,35026100.395,63046980.711,22926174.804,-85973155.5149999
2008-08-04 00:00:00,-14366979.48,14366979.48,27888842.52,-1690232.88,-24508376.7599999
2008-08-05 00:00:00,30325092.8399999,-30325092.84,-40433457.12,12635455.35,27798001.77
2008-08-06 00:00:00,-220894178.0,220894178.0,-9940238.00999993,-184446638.63,194386876.64
2008-08-07 00:00:00,-52836366.96,52836366.96,12193007.76,34546855.32,-46739863.0799999
2008-08-10 00:00:00,96978041.36,-96978041.36,-197018547.184,37770395.056,158227330.64
2008-08-11 00:00:00,-18992265.411,18992265.411,-18992265.411,88630571.918,-69638306.5070001
2008-08-12 00:00:00,30627943.2030001,-30627943.2030001,-127152370.267,73321439.789,53830930.4779999
2008-08-13 00:00:00,-387933023.062,387933023.062,-22327080.464,30699735.638,-8372655.17400003
2008-08-14 00:00:00,-51524559.5920001,51524559.592,-36301394.258,32788356.104,3513038.15400004
2008-08-17 00:00:00,44408700.0,-44408700.0,-72059400.0,11730600.0,60328800.0
