Date,Time,open,high,low,close
2022-11-24,07:00:00,50.6,52.4,45.6,48.0
2022-11-24,08:00:00,48.0,48.75,47.7,47.75
2022-11-24,09:00:00,47.75,48.2,47.75,47.95
2022-11-24,10:00:00,47.95,48.15,47.85,47.95
2022-11-24,11:00:00,47.95,48.3,46.75,48.05
2022-11-24,12:00:00,47.6,47.6,47.6,47.6
2022-11-27,07:00:00,47.8,48.25,46.6,46.95
2022-11-27,08:00:00,46.95,47.15,46.75,47.1
2022-11-27,09:00:00,47.15,47.2,46.75,46.95
2022-11-27,10:00:00,47.0,47.1,46.9,47.1
2022-11-27,11:00:00,47.05,47.8,46.7,47.3
2022-11-27,12:00:00,47.3,47.3,47.3,47.3
2022-11-28,07:00:00,47.0,47.55,46.2,47.5
2022-11-28,08:00:00,47.45,47.8,47.1,47.35
2022-11-28,09:00:00,47.3,47.35,47.05,47.25
2022-11-28,10:00:00,47.2,48.35,47.05,48.3
2022-11-28,11:00:00,48.25,49.25,47.75,47.9
2022-11-28,12:00:00,47.75,47.75,47.75,47.75
2022-11-29,07:00:00,47.8,48.3,47.65,47.9
2022-11-29,08:00:00,47.85,48.25,47.8,47.85
2022-11-29,09:00:00,47.9,48.0,47.45,47.8
2022-11-29,10:00:00,47.85,48.25,47.8,48.05
2022-11-29,11:00:00,48.05,48.25,47.8,47.85
2022-11-29,12:00:00,47.8,47.85,47.8,47.85
2022-11-30,07:00:00,47.95,48.15,47.65,48.0
2022-11-30,08:00:00,48.0,48.5,47.9,48.3
2022-11-30,09:00:00,48.35,48.35,47.9,48.05
2022-11-30,10:00:00,48.05,48.4,48.05,48.15
2022-11-30,11:00:00,48.15,48.25,47.9,47.9
2022-11-30,12:00:00,47.9,47.9,47.9,47.9
2022-12-01,07:00:00,48.05,49.2,48.05,48.85
2022-12-01,08:00:00,48.85,49.75,48.7,49.15
2022-12-01,09:00:00,49.15,49.3,48.9,49.05
2022-12-01,10:00:00,49.1,49.25,48.7,48.75
2022-12-01,11:00:00,48.75,49.05,48.6,48.85
2022-12-01,12:00:00,48.75,48.75,48.75,48.75
2022-12-04,07:00:00,49.0,49.8,48.8,49.45
2022-12-04,08:00:00,49.45,50.3,49.3,50.0
2022-12-04,09:00:00,49.95,50.1,49.75,50.0
2022-12-04,10:00:00,50.0,50.7,50.0,50.4
2022-12-04,11:00:00,50.4,51.0,49.85,50.1
2022-12-04,12:00:00,50.0,50.0,50.0,50.0
2022-12-05,07:00:00,50.6,50.8,49.3,49.65
2022-12-05,08:00:00,49.65,49.7,48.9,49.35
2022-12-05,09:00:00,49.35,49.45,49.1,49.4
2022-12-05,10:00:00,49.4,49.6,49.1,49.15
2022-12-05,11:00:00,49.1,49.35,48.2,48.45
2022-12-05,12:00:00,48.4,48.4,48.25,48.25
2022-12-06,07:00:00,48.3,49.15,47.5,48.75
2022-12-06,08:00:00,48.75,49.2,48.5,48.7
2022-12-06,09:00:00,48.7,49.1,48.55,49.0
2022-12-06,10:00:00,48.95,49.05,48.65,48.9
2022-12-06,11:00:00,48.9,49.25,48.55,49.25
2022-12-06,12:00:00,49.2,49.2,49.2,49.2
2022-12-07,07:00:00,49.15,49.8,49.0,49.45
2022-12-07,08:00:00,49.45,49.5,48.8,48.8
2022-12-07,09:00:00,48.85,48.9,48.2,48.25
2022-12-07,10:00:00,48.3,48.5,47.9,48.1
2022-12-07,11:00:00,48.1,48.55,48.0,48.0
2022-12-07,12:00:00,48.0,48.0,48.0,48.0
2022-12-08,07:00:00,48.3,48.7,47.85,47.9
2022-12-08,08:00:00,47.9,48.35,47.7,48.25
2022-12-08,09:00:00,48.2,48.5,48.0,48.3
2022-12-08,10:00:00,48.2,48.4,48.05,48.3
2022-12-08,11:00:00,48.3,48.3,47.75,47.95
2022-12-08,12:00:00,47.8,47.8,47.8,47.8
2022-12-11,07:00:00,47.8,48.4,47.7,48.1
2022-12-11,08:00:00,48.2,48.2,47.5,47.65
2022-12-11,09:00:00,47.6,47.9,47.35,47.8
2022-12-11,10:00:00,47.75,47.9,47.4,47.45
2022-12-11,11:00:00,47.4,47.4,45.7,45.95
