BUY,Date,Retail,Institutional,Foreign,Regional,Local
BUY,6/2/2008,1306049846,500381476.2,276383992.3,146320937.1,1383726393
BUY,6/3/2008,1080253804,397521577.5,195066350.3,143344212,1139364819
BUY,6/4/2008,1264372100,900648619.1,383208667.3,261967507,1519844545
BUY,6/5/2008,888881136.3,760248986.7,347966456,100596937.5,1200566730
BUY,6/8/2008,1224548928,374078915.3,151869645.1,190236713.3,1258120112
BUY,6/9/2008,1150500000,349500000,256500000,118500000,1125000000
BUY,6/10/2008,1304100000,795900000,241500000,113400000,1745100000
BUY,6/11/2008,968700231.2,401455682.8,317876172,113722940.9,938556801.1
BUY,6/12/2008,1165456342,996800322.1,300553676.3,164331506.5,1697371481
BUY,6/15/2008,921989488.9,529962462.1,262803303.1,87117117.06,1102031531
BUY,6/16/2008,1011441279,491443236.7,279536520,97687493.54,1127163387
BUY,6/17/2008,930205950,789213551,263071183.7,514106430.8,942241886.5
BUY,6/18/2008,824141417.4,549427611.6,192299664.1,178563973.8,1002705391
BUY,6/19/2008,766231211.2,412586036.8,176822587.2,117881724.8,884112936
BUY,6/22/2008,754600000,345400000,70400000,50600000,979000000
BUY,6/23/2008,989300000,310700000,161200000,106600000,1032200000
BUY,6/24/2008,946519341.5,394159612.5,235959495.9,99210242.6,1005509216
BUY,6/25/2008,1304465689,497282500.2,349539148.7,104501395,1347707645
BUY,6/26/2008,953060115.2,698690517.8,477355932.9,211424081,962970619
BUY,6/29/2008,671669577.3,668988261.7,91164733.05,79098812.5,1170394293
BUY,6/30/2008,317638245.9,1497437445,78048254.71,50822119.35,1686205317
BUY,7/2/2008,752711889.1,1063634355,363015138.2,67157800.57,1384902752
BUY,7/3/2008,1312474733,510406840.7,344524617.5,111195776,1368984062
BUY,7/6/2008,814187225.8,267070710.2,127588436.4,121100888.8,832568610.7
BUY,7/7/2008,1186831628,397723282.4,221837687.4,160040045.9,1202677177
BUY,7/8/2008,605628146.9,793051176.1,285330581.9,128678497.7,1025231944
BUY,7/9/2008,989758176,1296057473,466306392.4,144006385.9,1675502871
BUY,7/10/2008,858673165.8,599176012.2,313437573.3,103507291.6,1040904313
BUY,7/13/2008,703046337.9,327813395.1,148443801.6,86592217.57,795823713.9
BUY,7/14/2008,745435523.1,470609375.9,221320171.6,89987322.53,903521360
BUY,7/15/2008,822000000,678000000,333000000,153000000,1014000000
BUY,7/16/2008,906445302.1,401556576.9,270756389,98100140.93,939145349.1
BUY,7/17/2008,655716158.3,334791633.7,192158511.6,45563358.43,752785921.9
BUY,7/20/2008,667563516.2,239452130.8,142401456.6,92515595.99,673005610.1
BUY,7/21/2008,705275295,347374399,175792498.9,187371645.5,690538199.3
BUY,7/22/2008,532527934.6,346231033.4,246931270,65028163.63,567678293.3
BUY,7/24/2008,604824723.9,452303706.6,319768201.8,72578966.87,659521916.3
BUY,7/27/2008,740036230.8,361208160.2,94707017.63,61669685.9,944867687.5
BUY,7/28/2008,724134217.8,562072208.2,295827478,91320656.25,897772085.3
BUY,7/29/2008,793952883.8,348425366.3,145082037.8,84535990.5,912760221.8
BUY,7/30/2008,549341883.6,471739684.4,342062325.3,85770851.71,593248391
BUY,7/31/2008,479055846.6,351196920.4,233301027.5,59778199.22,537173540.2
BUY,8/3/2008,451518276,185319913,116541388.6,68141686.22,452155114.2
BUY,8/4/2008,543409870.9,301706569.1,208743760.7,64228849.44,574679179.2
BUY,8/5/2008,500364031.9,341999658.1,176896374.9,133935826.7,531531488.4
BUY,8/6/2008,482653778.9,621817111.1,309251849.2,78417433.19,716801607.6
BUY,8/7/2008,599489548.2,416594431.8,204232880,116849657.7,695001442.3
BUY,8/10/2008,687012861.4,333808626.6,104123791.8,100040505.8,815636368.9
BUY,8/11/2008,580620685.4,323772905.6,133850251.5,142894187.4,627649152.2
BUY,8/12/2008,602349549.7,325769941.3,127152370.3,118799294.8,682167825.9
BUY,8/13/2008,600040287.5,795402241.5,246993327.6,132567040.3,1015882161
BUY,8/14/2008,573796231.8,597216486.2,329054573.8,80799877.54,761158266.7
BUY,8/17/2008,576475200,261424800,143280900,64518300,630938700
