TOTAL,Date,Retail,Institutional,Foreign,Regional,Local,Total Turnover
TOTAL,2/5/2008,940123463,586050990,317444286.2,151091270.8,1057638896,1526174453
TOTAL,2/6/2008,897733057.8,559625802.2,342479332.1,126790220.8,988089307.1,1457358860
TOTAL,2/7/2008,866573463.1,498109155.9,319335732.8,132374214,912972672.1,1364682619
TOTAL,2/10/2008,714006607.7,204920815.3,103838798.8,79946685.8,735141938.4,918927423
TOTAL,2/11/2008,839922204.9,351456809.1,177515473.1,144156860.7,869706680.2,1191379014
TOTAL,2/12/2008,845872596.8,509692462.2,162667807.1,97600684.25,1095296568,1355565059
TOTAL,2/13/2008,790314000,511686000,316386000,109368000,876246000,1302000000
TOTAL,2/14/2008,960610482.3,475279625.7,278562681,137845450.4,1020917867,1435890108
TOTAL,2/17/2008,1110365331,307725768.7,153153838.8,160244294.3,1104692967,1418091100
TOTAL,2/18/2008,986984684,4526896232,1207539921,2150413557,2150413557,5513880916
TOTAL,2/19/2008,1431213553,791167740.3,624489143.3,208903841.5,1388988308,2222381293
TOTAL,2/20/2008,1509686463,809340361.9,531057142.9,227264628.9,1560705053,2319026825
TOTAL,2/21/2008,1439202901,1012590797,659532504.8,247631163.5,1547081823,2451793698
TOTAL,2/28/2008,1547937677,837174306,517569300.3,264747430.1,1602795253,2385111983
TOTAL,3/2/2008,1668872419,694969534.2,262386456.8,224564985.5,1876890511,2363841953
TOTAL,3/3/2008,1740562436,811581898.2,451729547.1,265423010.7,1834991776,2552144334
TOTAL,3/4/2008,1743041331,722363663.2,335295079.2,266263739.4,1866311580,2465404994
TOTAL,3/5/2008,1846407055,825672619.3,542432173.8,301945003.2,1827702497,2672079674
TOTAL,3/6/2008,1435942357,1174861929,482998792.9,201031930,1926773563,2610804286
TOTAL,3/9/2008,1386384237,912760434.4,400051172.8,213820454.4,1685273044,2299144671
TOTAL,3/10/2008,1588622906,833058353.1,394734045.2,213107950.8,1813839263,2421681259
TOTAL,3/11/2008,1446844059,1026393649,633148853.2,207751967.5,1632336887,2473237708
TOTAL,3/12/2008,1916286304,2313926288,1019481235,469553597.7,2741177760,4230212592
TOTAL,3/13/2008,1446020641,1047118395,501120946.2,261779598.8,1732731630,2493139036
TOTAL,3/16/2008,1525036080,915021648,236685599.6,165923925.5,2039888261,2440057728
TOTAL,3/17/2008,1650352474,1064043042,407159327.4,306726693.3,2000509495,2714395516
TOTAL,3/18/2008,1007974129,1100758358,647380873.5,145502541.6,1315849072,2108732487
TOTAL,3/19/2008,1272586663,770088558.3,545394284,234907650.4,1262373287,2042675221
TOTAL,3/23/2008,1103470128,631545796.7,293217691.3,133596226.2,1308202007,1735015925
TOTAL,3/24/2008,1219870282,894289652.5,323466470.1,135306235.8,1657501389,2114159935
TOTAL,3/25/2008,1305454190,877579572.3,392946077.2,159361464.6,1632909254,2183033762
TOTAL,3/26/2008,1526344195,836417716.5,413483334.4,210285810.1,1741355528,2362761911
TOTAL,3/27/2008,1441911019,736202302.8,446513231,211276992.2,1520323099,2178113322
TOTAL,3/30/2008,4961600629,1721782334,219135933.5,181569773.4,2729807628,3130513335
TOTAL,3/31/2008,447663406.9,2682849928,115828993.4,97045913.39,2917638428,11025779175
TOTAL,4/1/2008,1293285593,625535761.7,395277199.1,149668065.7,1373876090,1918821355
TOTAL,4/2/2008,1287370453,746390136.5,496237584,168802129,1368720877,2033760590
TOTAL,4/3/2008,1044735318,682099918.2,362635399.6,136419983.6,1226053018,1726835236
TOTAL,4/6/2008,876044578.6,333961745.4,156090815.8,91960480.62,961955027.6,1210006324
TOTAL,4/7/2008,1374948380,3553182014,630800690.4,206981476.5,4090348227,4928130394
TOTAL,4/8/2008,1882055744,841613929,484813201.8,212446234.5,2026410237,2723669673
TOTAL,4/9/2008,1982555669,886555284.5,295518428.2,395937311.5,2177655213,2869110953
TOTAL,4/10/2008,1482699023,542846090.3,243065413.6,123558251.9,1658921448,2025545113
TOTAL,4/13/2008,1669259566,541680256.6,152554847.8,234359621.2,1824025354,2210939823
TOTAL,4/14/2008,1519535910,865920777.7,360203959.9,274327519.1,1748539752,2385456688
TOTAL,4/15/2008,1506901218,793711328.7,345091882.1,243864930,1713956348,2300612547
TOTAL,4/16/2008,1612049400,587199440.5,301297091.2,202330893.4,1697820105,2199248841
TOTAL,4/17/2008,1366596097,510596344,309736752.8,138912240.6,1426666255,1877192441
TOTAL,4/20/2008,1315377649,493945114.3,238830604.7,130271238.9,1440220919,1809322763
TOTAL,4/21/2008,1126555074,789354915.9,398509277.9,113038689.4,1402446113,1915909990
TOTAL,4/22/2008,1196744088,1216046413,369156946.7,291947650.6,1751685904,2412790501
TOTAL,4/23/2008,894512671.1,1936223630,342519092.4,82091352.73,2408956592,2830736301
TOTAL,5/4/2008,1318910424,1105557267,247295704.5,237597833.7,1937149685,2424467691
TOTAL,5/5/2008,1627405172,1159247519,523890705.9,323251712.2,1936723620,2786652691
TOTAL,5/6/2008,1044274812,3418438059,432883148.5,214210217.8,3820082218,4462712871
TOTAL,5/7/2008,1465929809,722025129.9,391643934.1,190352079.7,1605958925,2187954939
TOTAL,5/8/2008,1735467277,971969972.8,506290765.8,311355283.8,1889791201,2707437250
TOTAL,5/11/2008,1369241886,991519986.2,365918090.2,167614092.9,1824868927,2360761872
TOTAL,5/12/2008,1485992539,1058515233,605592849.7,236639222.8,1704820207,2544507772
TOTAL,5/13/2008,921974041.4,1576600597,522202099.3,192390247.1,1783982292,2498574638
TOTAL,5/14/2008,1117495110,717472229.9,422042488.2,168816995.3,1245942824,1834967340
TOTAL,5/15/2008,961095557.2,1105776609,520851785.8,152948540.3,1393071840,2066872166
TOTAL,5/18/2008,774225080.5,520465689.5,242107174,111343406.2,942534880.6,1294690770
TOTAL,5/19/2008,966906640.2,1077293445,445635618.5,159447606.6,1439116860,2044200085
TOTAL,5/20/2008,1138085645,872666378,446386949.1,116623617.3,1447741457,2010752023
TOTAL,5/21/2008,1058433588,961477839.7,408022108.5,135334065.7,1476555254,2019911428
TOTAL,5/22/2008,1359164374,482521769.7,241260884.9,139968146.9,1460457112,1841686144
TOTAL,5/25/2008,1203000000,297000000,136500000,105000000,1270500000,1500000000
TOTAL,5/26/2008,1174863053,441179660.9,211701595.5,208469510.1,1195871608,1616042714
TOTAL,5/27/2008,1783571226,1007620051,357272483.5,499623238.6,1934295555,2791191277
TOTAL,5/28/2008,1348854582,988848333,411435713,182340827.4,1743926375,2337702915
TOTAL,5/29/2008,1445084143,1012541951,786440350.1,221186348.5,1447541769,2457626094
TOTAL,6/1/2008,1277500000,1222500000,142500000,145000000,2212500000,2500000000
TOTAL,6/2/2008,1320501296,485930025.6,270964698.3,173417406.9,1362049217,1806431322
TOTAL,6/3/2008,1093553782,384221599.1,152210864.2,147777538.1,1176309203,1477775381
TOTAL,6/4/2008,1249216955,915803764.1,413518957.3,229492196.2,1524174586,2165020719
TOTAL,6/5/2008,875688095.3,773442027.7,336422545.1,115439108.6,1197268469,1649130123
TOTAL,6/8/2008,1159005186,439622656.8,231801037.2,121495716.1,1245331090,1598627843
TOTAL,6/9/2008,1113000000,387000000,244500000,105000000,1150500000,1500000000
TOTAL,6/10/2008,1285200000,814800000,308700000,100800000,1688400000,2100000000
TOTAL,6/11/2008,998843661.3,371312252.7,245257908.6,105502005.4,1019396000,1370155914
TOTAL,6/12/2008,1210863732,951392932.2,250821773,147033453.2,1764401438,2162256664
TOTAL,6/15/2008,903114113.5,548837837.5,294746246.1,87117117.06,1070088588,1451951951
TOTAL,6/16/2008,1018955702,483928814.2,258496136.8,126242299.3,1118146080,1502884516
TOTAL,6/17/2008,1115903256,603516244.9,257912925.2,304337251.7,1158888744,1719419501
TOTAL,6/18/2008,824141417.4,549427611.6,192299664.1,178563973.8,1002705391,1373569029
TOTAL,6/19/2008,766231211.2,412586036.8,176822587.2,117881724.8,884112936,1178817248
TOTAL,6/22/2008,745800000,354200000,73700000,67100000,959200000,1100000000
TOTAL,6/23/2008,1011400000,288600000,157300000,104000000,1038700000,1300000000
TOTAL,6/24/2008,974673599.6,366005354.4,202442522.1,111276353.2,1026960079,1340678954
TOTAL,6/25/2008,1284646459,517101730.2,324314674,122518876.9,1354914638,1801748189
TOTAL,6/26/2008,1024085392,627665240.5,452579673.4,206468829.1,992702130.4,1651750633
TOTAL,6/29/2008,678372866.5,662284972.5,81780128.18,64351576.27,1194526135,1340657839
TOTAL,6/30/2008,1114047967,1493807294,72603027.64,41746740.89,1698910847,6294056310
TOTAL,7/2/2008,795003152.7,1020072538,328528700.1,88938708.86,1399423358,1815075691
TOTAL,7/3/2008,1337995075,484886498.7,322650038.6,165882223.2,1334349312,1822881574
TOTAL,7/6/2008,832568610.7,248689325.3,126507178.5,125425920.6,829324836.9,1081257936
TOTAL,7/7/2008,1213769061,370785848.9,199653918.7,198069363.8,1186831628,1584554910
TOTAL,7/8/2008,874174576.9,524504746.1,309108130.4,156652084.2,932919108.4,1398679323
TOTAL,7/9/2008,1019473779,1266341870,438876604.6,164578726.7,1682360318,2285815649
TOTAL,7/10/2008,884914451,572934727,271159947.1,113712235.9,1074434844,1457849178
TOTAL,7/13/2008,703046337.9,327813395.1,119579729,112363710.9,798916293.1,1030859733
TOTAL,7/14/2008,815966127.2,400078771.8,205511587.9,144709343,865823968.1,1216044899
TOTAL,7/15/2008,868500000,631500000,310500000,178500000,1011000000,1500000000
TOTAL,7/16/2008,939145349.1,368856529.9,227592326.9,103332148.4,977077403.6,1308001879
TOTAL,7/17/2008,647792096,342715696,183243941.5,56458944.14,750804906.3,990507792
TOTAL,7/20/2008,653051265.8,253964381.2,154192660,87073502.11,665749484.9,907015647
TOTAL,7/21/2008,664221956.9,388427737.1,251583276.9,118949415.4,682117001.7,1052649694
TOTAL,7/22/2008,565920775.4,312838192.6,233749885.5,57998091.89,587010990.6,878758968
TOTAL,7/24/2008,657418178.1,394450906.9,282952783.9,84149526.8,684766774.3,1051869085
TOTAL,7/27/2008,744441208.3,356803182.7,105719461.5,74884618.59,920640310.9,1101244391
TOTAL,7/28/2008,762720410.6,523486015.4,262386110.9,113186165.5,909347943.2,1286206426
TOTAL,7/29/2008,791668127.3,350710122.8,204485706.8,79966477.5,859068444,1142378250
TOTAL,7/30/2008,558531617.7,462549950.3,250164984.2,90876259.55,680040324.3,1021081568
TOTAL,7/31/2008,512265957.2,317986809.8,189297630.9,71401737.96,570383650.9,830252767
TOTAL,8/3/2008,468712907.1,168125281.9,84699479.14,56678598.82,494823272.9,636838189
TOTAL,8/4/2008,551015918.9,294100521.1,194376781.2,64228849.44,586510809.4,845116440
TOTAL,8/5/2008,485201485.4,357162204.6,197113103.5,127196917.2,518053669.4,842363690
TOTAL,8/6/2008,593100867.9,511370022.1,314774203.7,170088517.1,619608169.3,1104470890
TOTAL,8/7/2008,625907731.7,390176248.3,198136376.1,99576230.04,718371373.9,1016083980
TOTAL,8/10/2008,638013430,382808058,203143476.1,81665719.04,737033114.3,1020821488
TOTAL,8/11/2008,589664621.3,314728969.7,142894187.4,98578901.42,662920502.2,904393591
TOTAL,8/12/2008,587499637.8,340619853.2,191192615.1,81674515.21,655252360.6,928119491
TOTAL,8/13/2008,794006799,601435730,258156867.9,117217172.4,1020068489,1395442529
TOTAL,8/14/2008,599558511.6,571454206.4,347790777.2,64405699.49,758816241.3,1171012718
TOTAL,8/17/2008,554689800,283210200,179310600,58653000,600774300,837900000
TOTAL,8/18/2008,541271500,368428500,171933300,52762600,685004100,909700000
TOTAL,8/19/2008,546575200,450824800,221422800,74805000,702169600,997400000
TOTAL,8/20/2008,535262000,364338000,204209200,113349600,582041200,899600000
TOTAL,8/21/2008,565448251.7,363038204.3,194982155.8,81706808.13,651797492.1,928486456
TOTAL,8/24/2008,510240623.4,232467707.6,131459374.6,104721874.7,506527081.7,742708331
TOTAL,8/25/2008,472150808.9,223211207.1,118211542.7,93178510.14,483971963.1,695362016
TOTAL,8/26/2008,1206402833,1159092918,73330368.28,111178300.3,2180987082,2365495751
TOTAL,8/27/2008,493489500,271610500,111704600,113999900,539395500,765100000
TOTAL,8/28/2008,586855078.2,379957241.8,203997399.5,126652413.9,636162506.6,966812320
TOTAL,8/31/2008,704606296.7,348616867.3,163249590.4,155877028.3,734096545.3,1053223164
TOTAL,9/1/2008,514181287,384737047,186975013.5,129444240.1,583397998.8,898918334
TOTAL,9/2/2008,512818725.2,375948562.8,176864690.3,160866879.1,551035718.6,888767288
TOTAL,9/3/2008,579241324.5,436971525.5,282507172.3,146334650.4,579241324.5,1016212850
TOTAL,9/4/2008,630385274.8,487319113.2,260425122.4,181068110.9,677328859.1,1117704388
TOTAL,9/7/2008,778555564.4,385204621.6,180382828.8,172236507.5,811140849.6,1163760186
TOTAL,9/8/2008,829430314.9,466554552.1,326588186.5,127006517,842390163.6,1295984867
TOTAL,9/9/2008,816632992.2,398594674.8,240615078.1,116661856,857950732.9,1215227667
TOTAL,9/10/2008,704131180.2,420679011.8,227211658.8,124853931.3,749123587.9,1124810192
TOTAL,9/11/2008,760132788.6,757098326.4,370204392.1,80413249.1,1066613474,1517231115
TOTAL,9/14/2008,580564163.7,233691325.3,149823010,52112351.3,612320127.7,814255489
TOTAL,9/15/2008,637190031.7,440965690.3,249053971.8,139082088.1,691097817.8,1078155722
TOTAL,9/16/2008,594087262.8,457394618.2,266024915.9,129332271.4,656124693.7,1051481881
TOTAL,9/17/2008,560187852,560187852,272251296.1,123241327.4,724883080.5,1120375704
TOTAL,9/18/2008,599160041.4,506301289.6,389122388.5,88436906.48,627902036,1105461331
TOTAL,9/21/2008,592093126.2,376962726.8,270366583,92060306.04,606628964,969055853
TOTAL,9/22/2008,465961472.5,295413482.5,193389238.6,69285120.91,498700595.5,761374955
TOTAL,9/23/2008,354152901.3,253313481.7,171912986.4,46774911.49,388778485.1,607466383
TOTAL,9/24/2008,472047439.3,251951700.7,166519802.2,68055919.16,490147417.8,723999140
TOTAL,9/25/2008,419094958.6,669463375.4,545367725.3,65313500.04,478965667,1088558334
TOTAL,10/7/2008,259167600,498632400,209910600,34101000,513788400,757800000
TOTAL,10/8/2008,517614566.7,694597533.3,310326297.6,129706694.7,772179107.7,1212212100
TOTAL,10/9/2008,486323014.7,438245454.3,156252071.3,83211162.21,686029804,924568469
TOTAL,10/12/2008,414440444.5,290390243.5,121230878.3,36651195.78,546948613.9,704830688
TOTAL,10/13/2008,539692250.3,880550513.7,389146517.3,97996750.72,933099495.9,1420242764
TOTAL,10/14/2008,648862247.4,548300570.6,341191403.1,69435443.44,786535971.4,1197162818
TOTAL,10/15/2008,490893018.5,492860525.5,140676756.8,154449306.4,688627480.8,983753544
TOTAL,10/16/2008,430277537.7,359882867,147116952.2,44293275.94,599541127.8,790951356
TOTAL,10/19/2008,293966468.3,265969661.8,69432080.12,38635592.97,452428393,559936130
TOTAL,10/20/2008,314977121.3,282702425.7,139857014,52595800.14,405226732.9,597679547
TOTAL,10/21/2008,405882247.8,306191871.2,146687268.5,59102151.88,505572624.5,712074119
TOTAL,10/22/2008,409616763.1,373589284.9,137061058.4,64222895.94,581922093.7,783206048
TOTAL,10/23/2008,359655627,291894422,110763508.3,46911603.53,493874937.1,651550049
TOTAL,10/26/2008,339089000,189911000,69828000,77234000,381938000,529000000
TOTAL,10/27/2008,338605186.3,330575023.7,137181943.1,49519335.54,482478931.4,669180210
TOTAL,10/28/2008,426396094.2,409674678.8,185607711.6,91131714.26,559331347.1,836070773
TOTAL,10/29/2008,485131103.7,293570507.3,190781894.7,60738725.66,527180990.6,778701611
TOTAL,10/30/2008,415279079.1,268870968.9,153933760.8,57468604.03,472747683.2,684150048
TOTAL,11/2/2008,482326343.2,296876149.8,158957308.6,43635339.61,576609844.8,779202493
TOTAL,11/3/2008,627287717.5,382837431.5,264652789,56567008.34,688905351.6,1010125149
TOTAL,11/4/2008,584000000,416000000,249000000,67000000,665000000,1000000000
TOTAL,11/5/2008,613800000,486200000,292600000,81400000,727100000,1100000000
TOTAL,11/6/2008,670911943.4,321561345.6,200479604.4,74435496.68,718550661.2,992473289
TOTAL,11/9/2008,646609600,241590400,148329400,39969000,700789800,888200000
TOTAL,11/10/2008,823897538.5,289477513.5,120244505.6,104657254.9,888473291.5,1113375052
TOTAL,11/11/2008,856878708.5,290214609.5,74561065.67,71119785.72,1001412467,1147093318
TOTAL,11/12/2008,631071629.5,212607019.5,91117294.09,51464397.59,701096957.3,843678649
TOTAL,11/13/2008,577162621.3,370559252.7,137419671.7,43595206.2,766706996.1,947721874
TOTAL,11/16/2008,514840986.8,198235172.2,119796794.7,44210721.86,549781718.6,713076159
TOTAL,11/17/2008,590119634.9,321966354.1,221636895.3,59285589.29,631163504.4,912085989
TOTAL,11/18/2008,514256961.5,270868170.5,131115897,61239760.3,592769474.7,785125132
TOTAL,11/19/2008,433317600,458282400,253214400,42796800,595588800,891600000
TOTAL,11/20/2008,449198055.8,186159873.2,111187637.6,45745770.89,478424520.5,635357929
TOTAL,11/23/2008,303682786.6,380287453.4,81392458.56,60873351.36,541704430.1,683970240
TOTAL,11/24/2008,359290392.7,219277067.3,115134924.5,36449749.98,426404218,578567460
TOTAL,11/25/2008,387626296.7,211486990.3,147381868.6,45532609.81,406797921.9,599113287
TOTAL,11/26/2008,476400036.3,206121505.7,119441269.9,44363900.23,519398893.5,682521542
TOTAL,11/27/2008,265180549.2,227720099.8,133083175.2,28588237.64,331229236.1,492900649
TOTAL,11/30/2008,378846986.1,203994531,81597812.38,33221966.47,468604579.7,582841517
TOTAL,12/1/2008,256145129,392323552,269114502.6,46689745.03,332664433.4,648468681
TOTAL,12/2/2008,288400523,202076557,117714499.2,31881010.2,340881570.6,490477080
TOTAL,12/3/2008,330176409.2,362017320.8,123902677.7,51222336.02,517068716.3,692193730
TOTAL,12/4/2008,407784936.3,313958313.8,211470772.3,51243770.75,459028707,721743250
TOTAL,12/10/2008,257919600,152780400,79265100,25463400,306382200,410700000
TOTAL,12/11/2008,436095102.8,198686706.2,106643343.9,34278217.69,493860247.4,634781809
TOTAL,12/14/2008,454224429.6,157937874.4,65501366.53,480547408.6,66113528.83,612162304
TOTAL,12/15/2008,364306576.2,212127879.8,122780539.1,36315370.73,417338546.1,576434456
TOTAL,12/16/2008,506725166.1,423045780.9,222215256.3,109712971.7,596912948,929770947
TOTAL,12/17/2008,413922521.3,263528413.7,144297049.2,59615682.28,474215654.5,677450935
TOTAL,12/18/2008,330012427.7,120209165.3,94996756.12,21610636.46,333614200.4,450221593
TOTAL,12/21/2008,250276698.6,157340074.4,80708121.05,23641772.83,303266879.1,407616773
TOTAL,12/22/2008,271914948.2,176789586.8,120252815.4,33652840.13,294798879.5,448704535
TOTAL,12/23/2008,300382863.6,126904282.4,55974616.13,40592278.87,330720251,427287146
TOTAL,12/24/2008,267626653.9,93056168.08,36068282.2,25247797.54,299366742.3,360682822
TOTAL,12/25/2008,500386313.3,227978043.7,10925465.36,18937473.28,698501418.4,728364357
TOTAL,12/28/2008,195589617.1,81842463.9,6380937.863,13039307.81,257734403.2,277432081
TOTAL,1/4/2009,195600600,383099400,13310100,13310100,552079800,578700000
TOTAL,1/5/2009,505384901.8,167564368.2,90175202.18,47106448.9,535667618.9,672949270
TOTAL,1/6/2009,543366135.6,158657295.4,76520553.98,49141640.17,576361236.9,702023431
TOTAL,1/8/2009,502130521.6,172776093.4,94486926.1,44543836.59,535875852.3,674906615
TOTAL,1/11/2009,494614166.6,115267666.4,48790546.64,31103973.48,530597194.7,609881833
TOTAL,1/12/2009,495475839.4,206331298.6,136150584.8,30177706.93,536180653.4,701807138
TOTAL,1/13/2009,435019321.4,258791398.6,163739329.9,31915293.12,498156097,693810720
TOTAL,1/14/2009,404995170.5,444051308.5,109526995.8,27169487.33,713199042.4,849046479
TOTAL,1/15/2009,213240106.9,353887837.1,51608642.9,213240106.9,491699927.4,567127944
TOTAL,1/18/2009,383070170,135995101,72150072.67,35296438.43,412137825.2,519065271
TOTAL,1/19/2009,490450330.6,219318599.4,111433722,52522900.82,546522076.1,709768930
TOTAL,1/20/2009,377713058.2,192850473.8,78737767.42,44503955.5,447892372.6,570563532
TOTAL,1/21/2009,414551373.1,232174637.9,111236873.9,46564272.79,488924864.3,646726011
TOTAL,1/22/2009,239623572.3,346253132.7,76749848.36,25192698.32,483934158.3,585876705
TOTAL,1/25/2009,266613521.9,124889447.1,36018273.15,30145728.61,325338967.2,391502969
TOTAL,1/26/2009,298138550.4,221266589.6,87779468.66,36358359.8,395267311.5,519405140
TOTAL,1/27/2009,389052846.8,306927201.2,168427171.6,52894483.65,475354372.8,695980048
TOTAL,1/28/2009,340689105.4,150217386.6,73145067.31,24054418.11,393707006.6,490906492
TOTAL,1/29/2009,433460322.7,175332265.3,60270466.21,79143036.44,469379085.3,608792588
TOTAL,2/1/2009,271985501.1,113809535.9,23919292.29,17360776.67,344514968,385795037
TOTAL,2/2/2009,319818067.6,169200384.4,102204856.5,32275217.83,354538377.7,489018452
TOTAL,2/3/2009,277137032,194184451,107932619.6,18852859.32,344536004.1,471321483
TOTAL,2/4/2009,322132465.7,267853735.3,150446481.3,59588606.3,380541099.6,589986201
TOTAL,2/5/2009,334294606.3,200576763.8,136392199.4,32092282.2,366386888.5,534871370
TOTAL,2/8/2009,211903001.2,75228436.76,19668503.5,17515017.72,251814271.1,287131438
TOTAL,2/9/2009,268637944.3,236320597.7,147952852.8,28277678.35,328728010.8,504958542
TOTAL,2/10/2009,293042813.1,368453378.9,196464369,35720794.37,429311028.6,661496192
TOTAL,2/11/2009,388914529.7,322080954.3,179881857.5,49058688.4,482054938.2,710995484
TOTAL,2/12/2009,353129296.7,239369523.3,132127236.9,29624941,430746642.1,592498820
TOTAL,2/15/2009,387636294.5,189203429.5,61145010.74,33456703.99,482238009.3,576839724
TOTAL,2/16/2009,428697085.5,1556011644,107174271.4,31755339.66,1847763827,1984708729
TOTAL,2/17/2009,409309924.7,715167890.3,106825392.4,52850457.31,963677487.5,1124477815
TOTAL,2/18/2009,283421441.1,286843027.9,136293208.1,35356397.08,399185128.3,570264469
TOTAL,2/19/2009,332698127.9,210926264.1,90241649.07,25006722.03,428376020.9,543624392
TOTAL,2/22/2009,317456856,123455444,44532142.3,20722878.1,375657279.6,440912300
TOTAL,2/23/2009,318783881.3,152093343.7,60743162.03,32490528.53,378114411.7,470877225
TOTAL,2/24/2009,268657191.6,219810429.5,140678674.8,21492575.32,326296370.8,488467621
TOTAL,2/25/2009,281867778.6,426342720.4,114021890.3,22662735.97,571525872.7,708210499
TOTAL,2/26/2009,338033344.6,279943519.4,55617917.76,27808958.88,535167964.2,617976864
TOTAL,3/1/2009,319431853.2,279877439.8,36557866.87,25770299.6,536981126.5,599309293
TOTAL,3/2/2009,310296638.2,244795737.8,68831454.62,27199526.42,458506302.6,555092376
TOTAL,3/3/2009,382180500,271119500,41157900,33318300,578170500,653300000
TOTAL,3/4/2009,443710588.2,229598346.8,89550088.36,38378609.3,546053546.3,673308935
TOTAL,3/5/2009,458808061.3,294571349.7,212452993.9,30888555.85,510791240.7,753379411
TOTAL,3/8/2009,296239937.6,138129472.4,14768559.94,23890317.55,396144901.9,434369410
TOTAL,3/10/2009,406884333.9,163780931.1,95301099.26,48506547.53,426857618.2,570665265
TOTAL,3/11/2009,524237422.4,301333321.6,98242918.54,62743376.54,664584448.9,825570744
TOTAL,3/12/2009,413124536,220502053,92509481.99,43086608.05,498030499,633626589
TOTAL,3/15/2009,456611400,361688600,79375100,45824800,693100100,818300000
TOTAL,3/16/2009,529850870.1,538396851.9,143145194.7,45934652.05,879167875.2,1068247722
TOTAL,3/17/2009,533998688.2,372620476.8,96101631.49,49864054.08,759746860.3,906619165
TOTAL,3/18/2009,625543710.5,815801244.5,126838356,61977833.07,1252528766,1441344955
TOTAL,3/19/2009,661857552,433933097,154506481.5,75609554.78,866770403.4,1095790649
TOTAL,3/22/2009,573503456.4,1390549477,1176467707,39281058.66,750268220.4,1964052933
TOTAL,3/23/2009,801020476.5,320856941.5,186231651.4,81897051.51,853748715.1,1121877418
TOTAL,3/24/2009,934419137.4,383520407.6,230639420.4,79076372.7,1008223752,1317939545
TOTAL,3/25/2009,706997156.5,346649872.5,111686585.1,62165174.71,879795269.2,1053647029
TOTAL,3/26/2009,868642397.2,336132078.8,118067898.6,78310340.94,1009601011,1204774476
TOTAL,3/29/2009,940800000,259200000,84000000,70800000,1046400000,1200000000
TOTAL,3/30/2009,1091080314,333306518.9,123921654.5,68370567.98,1232094611,1424386833
TOTAL,3/31/2009,676091706.2,512118673.8,112879986.1,93868620.02,982649984.3,1188210380
TOTAL,4/1/2009,768000000,432000000,111600000,52800000,1035600000,1200000000
TOTAL,4/2/2009,1033123149,349906501.5,134153876.1,92662986.55,1156212787,1383029650
TOTAL,4/5/2009,1350771765,359065912.2,126527988.1,135077176.5,1448232512,1709837677
TOTAL,4/6/2009,1333009331,668506181,260197016.6,132100023.8,1609218472,2001515512
TOTAL,4/7/2009,1280711122,825721644.7,191685381.8,115853802.2,1798893583,2106432767
TOTAL,4/8/2009,833073572.2,659889818.8,422508639.7,103014474,967440277.4,1492963391
TOTAL,4/9/2009,866234521.3,726108348.7,214966287.5,103502286.6,1273874296,1592342870
TOTAL,4/12/2009,1161909839,628398079.6,110999091,87725088.03,1593374048,1790307919
TOTAL,4/13/2009,1052495125,523096379.3,140227643.9,67750434.67,1367613425,1575591504
TOTAL,4/14/2009,660143764.7,325145436.3,104440655.3,81779003.68,799069542,985289201
TOTAL,4/15/2009,737933680.3,424166603.7,254499962.2,92968022.72,815794399.4,1162100284
TOTAL,4/16/2009,912558827.4,634151049.6,228913061.8,89709172.87,1228087642,1546709877
TOTAL,4/21/2009,841700000,1058300000,218500000,70300000,1611200000,1900000000
TOTAL,4/22/2009,966400000,633600000,144000000,94400000,1361600000,1600000000
TOTAL,4/23/2009,1167656794,510011013.3,244939499.8,117436746.5,1315291561,1677667807
TOTAL,4/26/2009,1078405126,266239669.4,64542950.16,99503714.83,1181942775,1344644795
TOTAL,4/27/2009,1129483905,422004975.4,116361666,86883377.28,1348243837,1551488880
TOTAL,4/28/2009,955659189.7,386558773.3,115430744.8,73821987.97,1154307448,1342217963
TOTAL,4/29/2009,1123677713,255067947.1,103405924.5,104784670.2,1171933811,1378745660
TOTAL,4/30/2009,1169566086,324132619,147876171.8,77672332.66,1266656502,1493698705
TOTAL,5/3/2009,962872839.2,150274951.8,42299616.06,64562571.88,1006285603,1113147791
TOTAL,5/4/2009,932100000,367900000,119600000,70200000,1110200000,1300000000
TOTAL,5/5/2009,1270997244,339899136.2,164311430.8,91821093.66,1354763856,1610896380
TOTAL,5/6/2009,1130173961,658075977.2,148424744.9,107294996.3,1534318447,1788249938
TOTAL,5/7/2009,1356509422,838489642.8,204134913,140479940.2,1850384212,2194999065
TOTAL,5/10/2009,1356600000,543400000,159600000,119700000,1620700000,1900000000
TOTAL,5/11/2009,1518337166,629240155.1,180396495,133149793.9,1836178609,2147577321
TOTAL,5/12/2009,1349584295,564719669.4,218230651.9,112943933.9,1583129378,1914303964
TOTAL,5/13/2009,1481715747,517900645.8,137973531.1,107979285.2,1755663193,1999616393
TOTAL,5/14/2009,953231765.5,416354104.5,134219415.3,69848879.37,1165517575,1369585870
TOTAL,5/17/2009,839722053.6,298112707.4,56891738.05,55753903.29,1024051285,1137834761
TOTAL,5/18/2009,1024562009,484365839.2,220303465.8,79973175.94,1207142278,1508927848
TOTAL,5/19/2009,1431717325,472162096.4,177060786.2,131367680,1595450955,1903879421
TOTAL,5/20/2009,944570234,298285337,123042701.5,60899922.98,1058912946,1242855571
TOTAL,5/21/2009,1133108581,375691127.3,144844772,99580780.73,1264374155,1508799708
