NETFLOW,Date,Retail,Institutional,Foreign,Regional,Local
NETFLOW,5/27/2008,-94900503.42,94900503.42,106065268.5,55823825.54,-164680285.3
NETFLOW,5/28/2008,11688514.58,-11688514.58,-7013108.745,67793384.54,-60780275.79
NETFLOW,5/29/2008,58983026.26,-58983026.26,-61440652.35,125338930.8,-61440652.35
NETFLOW,6/1/2008,32500000,-32500000,5000000,-22500000,17500000
NETFLOW,6/2/2008,-28902901.15,28902901.15,9032156.61,-52386508.34,43354351.73
NETFLOW,6/3/2008,-25122181.48,25122181.48,84233196.72,-8866652.286,-75366544.43
NETFLOW,6/4/2008,30310290.07,-30310290.07,-60620580.13,67115642.29,-8660082.876
NETFLOW,6/5/2008,26386081.97,-26386081.97,23087821.72,-28035212.09,4947390.369
NETFLOW,6/8/2008,132686111,-132686111,-161461412.1,137481994.5,25578045.49
NETFLOW,6/9/2008,76500000,-76500000,22500000,28500000,-51000000
NETFLOW,6/10/2008,37800000,-37800000,-136500000,23100000,113400000
NETFLOW,6/11/2008,-61657016.13,61657016.13,143866371,16441870.97,-160308241.9
NETFLOW,6/12/2008,-88652523.22,88652523.22,97301549.88,36758363.29,-136222169.8
NETFLOW,6/15/2008,36298798.78,-36298798.78,-63885885.84,0,63885885.84
NETFLOW,6/16/2008,-13525960.64,13525960.64,40577881.93,-57109611.61,18034614.19
NETFLOW,6/17/2008,-369675192.7,369675192.7,12035936.51,419538358.2,-431574294.8
NETFLOW,6/18/2008,0,0,0,0,0
NETFLOW,6/19/2008,0,0,0,0,0
NETFLOW,6/22/2008,17600000,-17600000,-6600000,-34100000,40700000
NETFLOW,6/23/2008,-42900000,-721767800,7800000,6500000,-14300000
NETFLOW,6/24/2008,-56308516.07,56308516.07,65693268.75,-24132221.17,-41561047.57
NETFLOW,6/25/2008,37836711.97,-37836711.97,52250697.48,-37836711.97,-14413985.51
NETFLOW,6/26/2008,-140398803.8,140398803.8,51204269.62,9910503.798,-59463022.79
