2019-04-24 00:00:00,391830979,188078869.92,203752109.08,105402533.35100001,70529576.22,215898869.42900002,172405630.76,219425348.24,126169575.238,70137745.241,195523658.521,203360278.101,188470700.899,84635491.464,70529576.22,236665911.31599998,-30954647.34100002,30954647.34100002,41534083.774000004,-391830.97900000215,-41142252.79499999
2019-04-30 00:00:00,732182898,153758408.57999998,578424489.4200001,365359266.102,27822950.123999998,339000681.774,126667641.35399999,605515256.646,480311981.088,19768938.246,232101978.666,181581358.704,550601539.296,250406551.11600003,35876962.002000004,445899384.88199997,-54913717.35000001,54913717.350000024,229905429.97199997,-16108023.756000005,-213797406.21599996
2019-05-02 00:00:00,314737071,141316944.879,173420126.12100002,115823242.12799999,25808439.822,173105389.05,138169574.169,176567496.83100003,118341138.696,22975806.183,173420126.12100002,144779052.66,169958018.34,113305345.56,28641073.461,172790651.979,-6609478.490999997,6609478.491000026,5035793.1359999925,-5665267.278000001,629474.1420000196
2019-05-05 00:00:00,793319596,381586725.676,411732870.324,214989610.516,46805856.164,531524129.32000005,169770393.544,623549202.456,381586725.676,57119010.91199999,354613859.412,592609738.212,200709857.788,49185814.952,36492701.416,707641079.632,-422839344.668,422839344.668,332400910.724,20626309.495999992,-353027220.21999997
2019-05-06 00:00:00,311593439,174492325.84,137101113.16,85065008.847,33340497.973,193187932.18,160782214.52400002,150811224.47599998,96593966.09,20565166.974,194434305.936,188514030.595,123079408.405,73536051.604,46115828.971999995,191941558.424,-27731816.07099998,27731816.07099998,23057914.486,-25550661.997999996,2492747.5119999945
2019-05-07 00:00:00,460594430,182855988.71,277738441.28999996,177789449.98000002,72773919.94,209570465.65,178710638.84,281883791.15999997,208649276.79,35465771.11,216479382.1,187001338.58,273593091.42,147390217.6,110082068.77,203122143.63,-8290699.74000001,8290699.73999995,61259059.19,-74616297.66,13357238.469999999
2019-05-08 00:00:00,584115817,265772696.735,318343120.26500005,214370504.839,42640454.640999995,327688973.337,200351725.231,383764091.769,269861507.454,28621675.033,285632634.513,331193668.23899996,252922148.761,158295386.407,56659234.249,369161196.344,-130841943.00799996,130841943.00799999,111566121.04699999,-28037559.216,-83528561.83099997
2019-05-09 00:00:00,446736270,253746201.35999998,192990068.64,129106782.02999999,30824802.630000003,286804685.34000003,234089805.48000002,212646464.51999998,137148034.89,30378066.360000003,279210168.75,272955860.96999997,173780409.03,121065529.17,31271538.900000002,294399201.93,-38866055.48999995,38866055.48999998,16082505.719999984,-893472.5399999991,-15189033.180000007
2019-05-12 00:00:00,244863667,138837699.18899998,106025967.811,42606278.058,20568548.028,181443977.247,133695562.18200001,111168104.818,41381959.723000005,17875047.691,185606659.586,143979836.19599998,100883830.80399999,44075460.059999995,23262048.365000002,177526158.575,-10284274.013999969,10284274.014000013,-2693500.33699999,-5387000.674000002,8080501.011000007
2019-05-13 00:00:00,686271987,270391162.878,415880824.122,208626684.048,54215486.973,423429815.979,277940154.735,408331832.265,196273788.28199998,39803775.246,450194423.472,263528443.00800002,422743543.992,220979579.814,67940926.713,397351480.473,14411711.726999998,-14411711.726999998,-24705791.532000035,-28137151.467,52842942.99900001
2019-05-14 00:00:00,399213300,165274306.2,233938993.79999998,149704987.5,19162238.400000002,230346074.1,166072732.79999998,233140567.2,145313641.2,16766958.600000001,237132700.2,164875092.9,234338207.1,153697120.5,22355944.8,223160234.70000002,1197639.8999999762,-1197639.900000006,-8383479.300000012,-5588986.199999999,13972465.49999997
2019-05-15 00:00:00,379971471,166047532.827,213923938.17299998,126910471.31400001,18238630.608,234822369.078,169087304.595,210884166.40500003,129570271.61100002,12919030.014,237482169.375,163007761.059,216963709.94099998,124250671.017,23558231.202,232162568.781,6079543.536000013,-6079543.535999954,5319600.594000012,-10639201.188,5319600.594000012
2019-05-16 00:00:00,399333237,176105957.517,223227279.483,145756631.505,27953326.590000004,225623278.90499997,187686621.39,211646615.61,127387302.603,36339324.567,235606609.82999998,164525293.644,234807943.35599998,164525293.644,19167995.376000002,215639947.98000002,23161327.745999992,-23161327.745999962,-37137991.04099999,17171329.191,19966661.849999964
2019-05-19 00:00:00,295064981,149597945.367,145467035.633,40718967.378000006,15638443.992999999,238707569.629,159040024.759,136024956.241,38358447.53,11802599.24,244903934.23,140155865.975,154909115.025,43374552.206999995,19179223.765,232511205.028,18884158.78400001,-18884158.78400001,-5016104.676999994,-7376624.525,12392729.201999992
2019-05-20 00:00:00,414972400,175948297.6,239024102.39999998,153539788,29048068.000000004,232384544.00000003,172628518.4,242343881.6,161839236,33197792,219935372,179268076.8,235704323.2,103743100,20748620,290480680,-6639558.400000006,6639558.400000006,58096136,12449172,-70545308
2019-05-21 00:00:00,543745177,231635445.40199998,313197221.95199996,194660773.366,47305830.399,302322318.412,234897916.464,308847260.53599995,177260927.702,55462008.054,311022241.24399996,226197993.632,317547183.368,212060619.03,38605907.566999994,293078650.403,8699922.831999987,-8699922.832000017,-34799691.32800001,16856100.487000003,17943590.84099996
2019-05-22 00:00:00,417139082,176449831.686,240689250.31399998,142661566.044,29616874.821999997,244860641.13399997,178535527.096,238603554.90399998,134735923.486,44216742.692,238186415.82199997,174781275.35799998,242357806.642,150587208.602,15017006.952,251534866.44599998,3754251.7380000055,-3754251.7380000055,-15851285.115999997,29199735.740000002,-13348450.624000013
